player_key,player_id,player_name,team,nfl_player_key,position,bye_week,points,league_key
423.p.40234,40234,Parker Washington,Jacksonville Jaguars,nfl.p.40234,WR,9,39.20,423.l.129200
423.p.32040,32040,Scotty Miller,Pittsburgh Steelers,nfl.p.32040,WR,6,39.10,423.l.129200
423.p.32225,32225,Andrew Beck,Houston Texans,nfl.p.32225,"RB,TE",7,38.80,423.l.129200
423.p.40180,40180,Will Mallory,Indianapolis Colts,nfl.p.40180,TE,11,38.70,423.l.129200
423.p.26753,26753,Kyle Juszczyk,San Francisco 49ers,nfl.p.26753,RB,9,38.50,423.l.129200
423.p.32123,32123,Olamide Zaccheaus,Washington Commanders,nfl.p.32123,WR,14,38.40,423.l.129200
423.p.40231,40231,Chris Rodriguez Jr.,Washington Commanders,nfl.p.40231,RB,14,37.90,423.l.129200
423.p.32785,32785,Harrison Bryant,Las Vegas Raiders,nfl.p.32785,TE,13,37.90,423.l.129200
423.p.30627,30627,Pharaoh Brown,Seattle Seahawks,nfl.p.30627,TE,5,37.80,423.l.129200
423.p.31769,31769,KhaDarel Hodge,Atlanta Falcons,nfl.p.31769,WR,11,37.20,423.l.129200
423.p.26652,26652,Cordarrelle Patterson,Pittsburgh Steelers,nfl.p.26652,RB,6,36.90,423.l.129200
423.p.24793,24793,Julio Jones,Philadelphia Eagles,nfl.p.24793,WR,10,36.40,423.l.129200
423.p.40226,40226,Elijah Higgins,Arizona Cardinals,nfl.p.40226,TE,14,36.30,423.l.129200
423.p.40141,40141,Tyler Scott,Chicago Bears,nfl.p.40141,WR,13,35.90,423.l.129200
423.p.28493,28493,Jamison Crowder,Washington Commanders,nfl.p.28493,WR,14,35.90,423.l.129200
423.p.40133,40133,Derius Davis,Los Angeles Chargers,nfl.p.40133,WR,5,35.70,423.l.129200
423.p.34148,34148,Drew Ogletree,Indianapolis Colts,nfl.p.34148,TE,11,35.70,423.l.129200
423.p.32870,32870,Quez Watkins,Pittsburgh Steelers,nfl.p.32870,WR,6,35.20,423.l.129200
423.p.33470,33470,Dyami Brown,Washington Commanders,nfl.p.33470,WR,14,34.96,423.l.129200
423.p.34520,34520,Deven Thompkins,Tampa Bay Buccaneers,nfl.p.34520,WR,5,34.90,423.l.129200
423.p.32608,32608,D'Ernest Johnson,Jacksonville Jaguars,nfl.p.32608,RB,9,34.80,423.l.129200
423.p.33512,33512,John Bates,Washington Commanders,nfl.p.33512,TE,14,34.10,423.l.129200
423.p.24070,24070,Jimmy Graham,New Orleans Saints,nfl.p.24070,TE,11,33.90,423.l.129200
423.p.40445,40445,Malik Heath,Green Bay Packers,nfl.p.40445,WR,6,33.50,423.l.129200
423.p.31882,31882,Irv Smith,Kansas City Chiefs,nfl.p.31882,TE,10,33.50,423.l.129200
423.p.33447,33447,Terrace Marshall Jr.,Carolina Panthers,nfl.p.33447,WR,7,32.90,423.l.129200
423.p.34637,34637,Stone Smartt,Los Angeles Chargers,nfl.p.34637,TE,5,32.50,423.l.129200
